Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
HSCJ2232+0012,338.050125,0.2106667,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.18,S1L,2018PASJ...70S..35M,True,4
HSC J151248.71+442217.5,228.2029584,44.3715278,QSO type1-BL,Millquas,6.19,SLS,2019ApJ...883..183M,True,29
HSC J0918+0139,139.6382084,1.6564723,QSO type1-BL,Millquas,6.19,S1L,2022MNRAS.517.1264L,True,29
HSC J1208-0200,182.2467917,-2.0096667,QSO type1-BL,Millquas,6.2,P,2018PASJ..70S...35M,True,4
CFHQS J02277-0605,36.930432,-6.091764,QSO type1-BL,Millquas,6.2,P,2009AJ 133541....1R,True,1
PSO J184.3389+01.5284,184.3389119,1.5284767,QSO type1-BL,Millquas,6.2,P,,True,4
HSC J0217-0208,34.3399584,-2.1479445,QSO type1-BL,Millquas,6.2037,SUN,2022ApJ...941...74O,True,38
CFHQS J0136+0226,24.0132084,2.4349167,QSO type1-BL,Millquas,6.206,S1L,2022ApJ...941..106F,True,1
CFHQS J1429+5447,217.467375,54.78825,QSO type1-BL-R-X,Millquas,6.21,S,2010AJ 13.906....1R,True,4
VDESJ0410-4414,62.513467,-44.244635,QSO type1-BL,Millquas,6.21,SUN,2017MNRAS.468.4702R,True,1
SDSS J162331.81+311200.5,245.8825417,31.2001389,QSO type1-BL-X,Millquas,6.22,S,2004AJ 12.515....1R,True,4
PSO J308.0416-21.2339,308.0416495,-21.2339941,QSO type1-BL,Millquas,6.2355,S1L,2022ApJ...941..106F,True,2
CFHQS J0050+3445,12.5277653,34.756004,QSO type1-BL-X,Millquas,6.246,S1L,2022ApJ...941..106F,True,1
ILTJ1133+4814,173.460125,48.2420056,QSO type1-BL-R,Millquas,6.25,S,2022A&A..668A...27G,True,4
VDESJ0330-4025,52.61632,-40.42121,QSO type1-BL,Millquas,6.25,SUN,2017MNRAS.468.4702R,True,1
VDESJ0323-4701,50.918139,-47.022256,QSO type1-BL,Millquas,6.25,SUN,2017MNRAS.468.4702R,True,1
HSC J0844-0052,131.1316667,-0.8818334,QSO type1-BL,Millquas,6.25,S1L,2018PASJ...70S..35M,True,29
VDESJ0143-5545,25.792719,-55.752976,QSO type1-BL,Millquas,6.25,SUN,2017MNRAS.468.4702R,True,1
HSC J2239+0207,339.9477917,2.1298612,QSO type1-BL,Millquas,6.26,S,2018PASJ..70S...35M,True,4
