#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
734,398,52224,0.07653248,0,35.97032,5.702612,2223.468,18.19812,719.1723,10.23396,337.2448,8.52361,296.753,9.249678,370.0673,3.856604,1116.208,11.63239,368.9673,14.09046,340.5632,14.1635
1379,627,53084,0.1317395,0,47.18734,3.490454,2015.757,15.45695,638.4865,7.594172,130.6994,6.421076,118.9009,4.782277,199.5571,2.222503,601.9102,6.703576,234.9794,7.789704,207.2852,7.738923
1447,228,53120,0.2501043,0,24.46698,3.874534,2695.923,17.74861,860.6055,8.958895,163.4111,9.715426,172.8764,7.340669,225.2159,3.150797,679.3031,9.503519,301.1721,9.519556,237.3783,9.262383
1617,469,53112,0.1268563,0,14.88565,2.948071,472.1245,5.544679,142.3583,3.815668,73.9809,3.597917,85.768,3.639965,92.9111,1.47131,280.2413,4.437805,62.75608,6.636387,68.01806,6.603421
1618,173,53116,0.102508,0,24.1072,3.599418,348.9318,5.852418,102.1445,4.162923,41.65529,3.506411,35.75733,3.139295,105.9949,2.041635,319.705,6.158036,71.69704,5.84844,44.02164,5.822617
1685,196,53463,0.2082178,0,48.1342,4.082318,1248.214,9.991657,384.3431,6.101912,58.10182,4.260094,52.01003,4.426624,113.0578,2.585702,341.0084,7.799066,93.98627,7.577188,115.9334,7.614186
1685,581,53463,0.05442749,0,75.70626,6.971414,1614.076,15.0935,469.1101,9.548792,149.6988,7.141189,145.6982,7.015152,442.8437,6.865273,1335.719,20.70722,242.6108,18.18007,91.0787,17.66774
1753,618,53383,0.1109736,0,32.85089,2.983822,690.6241,5.673647,216.7197,3.936793,169.7392,3.623752,174.8911,3.916369,163.2194,2.231745,492.3073,6.731452,369.8128,10.11863,282.6333,10.05992
2028,366,53818,0.05937941,0,36.72164,2.706536,1373.228,10.88157,464.076,5.479218,124.9091,2.720075,94.06932,2.517376,81.44259,1.177723,245.6496,3.552281,304.9201,6.756541,277.4133,6.589856
2098,574,53460,0.1925504,0,28.12777,4.775017,1249.92,9.901019,342.5371,6.697539,178.295,5.903091,163.1578,6.429835,215.3863,4.970597,649.6547,14.99245,382.9475,11.26832,175.6059,10.42926
