plate,fiberid,z,T_e,N_e,chi2,chi2_red,dof,success,hit_bound
2161.0,557.0,0.2538877,33245.75238160548,95.40282741992367,0.4641454178672837,0.4641454178672837,1,True,False
2349.0,60.0,0.1735729,37316.08405617497,1157.4359495262934,2.5310476116727503,2.5310476116727503,1,True,False
2350.0,530.0,0.09768989,29551.031256121176,2364.385610131418,2.705667414221824,2.705667414221824,1,True,False
2351.0,35.0,0.2191801,21889.562941806165,914.713274866226,2.7339585565914506,2.7339585565914506,1,True,False
734.0,398.0,0.07653248,14732.72513642463,478.60091827841234,0.10632766522615955,0.10632766522615955,1,True,False
1379.0,627.0,0.1317395,17750.479305616507,476.7017056971591,1.4711238340107917,1.4711238340107917,1,True,False
1617.0,469.0,0.1268563,21328.630756693663,1568.6213867400274,1.3341917143113897,1.3341917143113897,1,True,False
1618.0,173.0,0.102508,45929.88685360625,377.33017330248236,3.1443395657579827,3.1443395657579827,1,True,False
1685.0,196.0,0.2082178,24566.670669200685,1232.4773746677492,1.8791442881346005,1.8791442881346005,1,True,False
2362.0,502.0,0.07606132,19725.291826737634,1102.836196888167,3.542659761669405,3.542659761669405,1,True,False
350.0,520.0,0.07886094,21991.20518602978,236.72988093025572,0.1818639136401646,0.1818639136401646,1,True,False
597.0,86.0,0.1790286,16788.394977994554,411.91506594462123,0.6722127647922691,0.6722127647922691,1,True,False
733.0,65.0,0.1094153,11795.584477349017,661.3752541523003,4.2615182032663315,4.2615182032663315,1,True,False
881.0,160.0,0.2887917,46755.083909274035,1093.0181912067098,0.8173788889224444,0.8173788889224444,1,True,False
1623.0,105.0,0.08045813,18321.12007608384,1355.1174247037225,2.141176954998929,2.141176954998929,1,True,False
1819.0,565.0,0.07694989,26592.666552018214,1100.8186103273463,3.7716530804321318,3.7716530804321318,1,True,False
2371.0,144.0,0.1198021,37362.94271293546,4460.7518698082995,0.6227595467559629,0.6227595467559629,1,True,False
283.0,294.0,0.3471135,36536.524445415445,688.2858864074232,2.448140925141151,2.448140925141151,1,True,False
662.0,324.0,0.1638668,19450.95181120107,367.88815217526474,0.20884667436094195,0.20884667436094195,1,True,False
937.0,621.0,0.2689166,20322.2687757349,362.6486901844673,0.985516104976584,0.985516104976584,1,True,False
1001.0,363.0,0.168284,14593.171164147638,236.33994947614082,0.10270033858916244,0.10270033858916244,1,True,False
1001.0,571.0,0.1956124,23710.742195433028,550.9719450942299,0.07214570196147213,0.07214570196147213,1,True,False
1679.0,532.0,0.2094742,33640.87782105083,935.9221807547178,0.09551973663804282,0.09551973663804282,1,True,False
1951.0,66.0,0.1443599,25405.829002159513,1228.1622294826698,0.09197868197104851,0.09197868197104851,1,True,False
1951.0,393.0,0.1624269,34149.94642183099,589.6775839186514,0.2573771894837921,0.2573771894837921,1,True,False
2373.0,573.0,0.1287471,19892.629607307455,353.94470460961384,0.99703113322669,0.99703113322669,1,True,False
726.0,539.0,0.1580772,35792.75665211471,1189.669259395769,4.8739103648032,4.8739103648032,1,True,False
790.0,287.0,0.04279729,16983.863287409316,804.8306840422586,4.8343601186974166,4.8343601186974166,1,True,False
932.0,506.0,0.1261385,44916.78140367142,652.6913775228394,1.6109922903606064,1.6109922903606064,1,True,False
1439.0,622.0,0.09428049,32305.970601747835,514.5187934760928,0.3984708278372532,0.3984708278372532,1,True,False
1812.0,451.0,0.167061,22890.117555449044,546.7987959291733,1.1092601102064135,1.1092601102064135,1,True,False
1950.0,344.0,0.137954,31213.1984772792,597.1914815254282,0.9203321781199737,0.9203321781199737,1,True,False
2021.0,27.0,0.1400099,20480.38311590304,946.0090790234017,0.10614172105611841,0.10614172105611841,1,True,False
2090.0,87.0,0.1604291,37815.558497657774,2862.116977845231,3.7895118181579317,3.7895118181579317,1,True,False
2159.0,294.0,0.1274811,27550.93597687579,113.3708242339636,0.02189650025601147,0.02189650025601147,1,True,False
958.0,128.0,0.07112775,37223.43986159493,1229.4261097908807,2.2531233043653063,2.2531233043653063,1,True,False
288.0,544.0,0.1572411,29296.57807548075,625.5359385553986,0.4640916531174169,0.4640916531174169,1,True,False
1959.0,270.0,0.2223833,39408.263172057246,1090.6058029133103,0.46502672798083106,0.46502672798083106,1,True,False
